positionid,type,hospital
1,"Breast Surgeon","Naas General Hospital"
2,"Data Scientist","University Hospital Kerry"
3,"Hospital Manager","Naas General Hospital"
4,"Hospital Manager","St. James's Hospital"
5,Gynecologist,"Portiuncula Hospital Ballinasloe"
6,"General Surgeon","Letterkenny University Hospital"
7,"General Surgeon","St. James's Hospital"
8,"HR intern","St. Vincent's University Hospital"
9,"HR Manager","Letterkenny University Hospital"
10,Neurologist,"St. Vincent's University Hospital"
11,Neurologist,"Beaumont Hospital"
12,Pediatrician,"Beaumont Hospital"
13,Pediatrician,"University Hospital Waterford"
14,Midwife,"University Hospital Kerry"
15,Midwife,"University Hospital Waterford"
16,Midwife,"Connolly Hospital Blanchardstown"
